Song Title,Artist,Status
Capo Capón,LaCuerda,Downloaded
Casi Estatua,LaCuerda,Downloaded
"Casitas Inundadas, a votar",LaCuerda,Downloaded
Che que esperás,LaCuerda,Downloaded
Cielito Lindo,LaCuerda,Downloaded
Clavador de Querubín,LaCuerda,Downloaded
Cosas De Baboon,LaCuerda,Downloaded
Cristófolo Cacarnu,LaCuerda,Downloaded
Cuadros Colgados,LaCuerda,Downloaded
Cuantas veces,LaCuerda,Downloaded
Mujer Amante,LaCuerda,Downloaded
Talisman,LaCuerda,Downloaded
Aun estás en mis sueños,LaCuerda,Downloaded
Wish you were here,LaCuerda,Downloaded
La leyenda del hada y el mago,LaCuerda,Downloaded
Ella,LaCuerda,Downloaded
Volviendo a casa,LaCuerda,Downloaded
Solo para amarte,LaCuerda,Downloaded
El sueño de la gitana,LaCuerda,Downloaded
Noche sin sueños,LaCuerda,Downloaded
Abeja reina,LaCuerda,Downloaded
Abrazando el rock´n roll,LaCuerda,Downloaded
Agord la bruja,LaCuerda,Downloaded
Amo del camino,LaCuerda,Downloaded
Amor sin fín,LaCuerda,Downloaded
Angel,LaCuerda,Downloaded
Angeles de Acero,LaCuerda,Downloaded
Aria en Sol,LaCuerda,Downloaded
Asesinos,LaCuerda,Downloaded
Bajo Control,LaCuerda,Downloaded
Bajo el poder del sol,LaCuerda,Downloaded
Basura,LaCuerda,Downloaded
Blues,LaCuerda,Downloaded
Breaking away,LaCuerda,Downloaded
Buscando Pelea,LaCuerda,Downloaded
Caballo Salvaje,LaCuerda,Downloaded
Capricho Arabe,LaCuerda,Downloaded
Chico Callejero,LaCuerda,Downloaded
Como yo nadie te ha amado,LaCuerda,Downloaded
Corte porteño,LaCuerda,Downloaded
Cuando hoy es ayer,LaCuerda,Downloaded
Cuando la luz obscurece,LaCuerda,Downloaded
Cuando la luz oscurece,LaCuerda,Downloaded
Cuando sane tu corazón,LaCuerda,Downloaded
Cuarto poder,LaCuerda,Downloaded
Diario de una sombra,LaCuerda,Downloaded
Días duros,LaCuerda,Downloaded
El Beso de la Bruja,LaCuerda,Downloaded
El Camino del Sol,LaCuerda,Downloaded
El Círculo de fuego,LaCuerda,Downloaded
Pupilas lejanas,LaCuerda,Downloaded
Sin cadenas,LaCuerda,Downloaded
Runaway,LaCuerda,Downloaded
Complicado y aturdido,LaCuerda,Downloaded
Run away,LaCuerda,Downloaded
Mucha Experiencia,LaCuerda,Downloaded
Casi nunca lo ves,LaCuerda,Downloaded
Waitin',LaCuerda,Downloaded
Waiting for your love,LaCuerda,Downloaded
Anónimos,LaCuerda,Downloaded
Agradezco que respiro,LaCuerda,Downloaded
Amandla,LaCuerda,Downloaded
Amores Ciegos,LaCuerda,Downloaded
Babel,LaCuerda,Downloaded
Bajo el mismo cielo,LaCuerda,Downloaded
Bajo la lluvia,LaCuerda,Downloaded
Bésame,LaCuerda,Downloaded
Big Yuyo,LaCuerda,Downloaded
Bolero,LaCuerda,Downloaded
Boulevard,LaCuerda,Downloaded
Cerca de mí,LaCuerda,Downloaded
Corazón de bruja,LaCuerda,Downloaded
Desde Cero,LaCuerda,Downloaded
Desigual,LaCuerda,Downloaded
Desorden,LaCuerda,Downloaded
Días De Sol,LaCuerda,Downloaded
Don Juan,LaCuerda,Downloaded
El gran desfile,LaCuerda,Downloaded
El Hombre,LaCuerda,Downloaded
El mejor lugar,LaCuerda,Downloaded
El Ritual de la Banana,LaCuerda,Downloaded
Eso es real,LaCuerda,Downloaded
Eu vi chegar,LaCuerda,Downloaded
Eu vi llegar,LaCuerda,Downloaded
Fácil de engañar,LaCuerda,Downloaded
Fronteras en América,LaCuerda,Downloaded
Hace lo que Quieras,LaCuerda,Downloaded
Home sweet Home,LaCuerda,Downloaded
Inalcanzable,LaCuerda,Downloaded
Jamaica Reggae,LaCuerda,Downloaded
Ataque,Dos Minutos,Downloaded
Ataque,Juanse,Downloaded
Ataque de Caca,Mox,Downloaded
Alcatraz,Ataque Escampe,Downloaded
Arder,Ataque Escampe,Downloaded
Ataqué,Gato a Secas,Downloaded
Ataque al corazón,M-Clan,Downloaded
Ataque de pánico,Snake,Downloaded
Ataque de tos,Joaquín Sabina,Downloaded
La Pesca,Ataque de Caspa,Downloaded
Nadina,Ataque Escampe,Downloaded
Ataque de amor,Marcos Llunas,Downloaded
el Ataque de las Chicas Cocodrilo,Hombres G,Downloaded
El ataque de los gorilas,Fito Paez,Downloaded
El ataque de los hambrientos,La Polla Records,Downloaded
El Ultimo Ataque,Rata Blanca,Downloaded
Festa Malandrómica,Ataque Escampe,Downloaded
Hombres al borde de un ataque,Yuri,Downloaded
Noites de agosto,Ataque Escampe,Downloaded
Viaje a Egipto,Ataque de Caspa,Downloaded
Al borde de un ataque de nervios,Fernando Blanco,Downloaded
Ataque preventivo de la URSS,Polanski y el Ardor,Downloaded
Ya no formo parte de esto,Ataque Frontal,Downloaded
Cuando el arte ataque,Luis Alberto Spinetta,Downloaded
Confesiones de Invierno,LaCuerda,Downloaded
Canción para mi Muerte,LaCuerda,Downloaded
Quizás Porque,LaCuerda,Downloaded
Aprendizaje,LaCuerda,Downloaded
Cuando ya me empiece a quedar solo,LaCuerda,Downloaded
Rasguña las Piedras,LaCuerda,Downloaded
Estación,LaCuerda,Downloaded
el Fantasma de Canterville,LaCuerda,Downloaded
Necesito,LaCuerda,Downloaded
Bienvenidos al Trén,LaCuerda,Downloaded
Afuera de la ciudad,LaCuerda,Downloaded
Aguante la amistad,LaCuerda,Downloaded
Aguate la amistad,LaCuerda,Downloaded
Alto en la Torre,LaCuerda,Downloaded
Amigo vuelve a casa pronto,LaCuerda,Downloaded
Amo lo extraño,LaCuerda,Downloaded
Aquí sin tu amor,LaCuerda,Downloaded
Bienvenida Casandra,LaCuerda,Downloaded
Blues del levante,LaCuerda,Downloaded
Botas Locas,LaCuerda,Downloaded
Bubulina,LaCuerda,Downloaded
Cassandra,LaCuerda,Downloaded
Cuando Comenzamos A Nacer,LaCuerda,Downloaded
Cuando te vayas,LaCuerda,Downloaded
Digo de voz,LaCuerda,Downloaded
Dime quién me lo robó,LaCuerda,Downloaded
El chico y yo,LaCuerda,Downloaded
El día que apagaron la luz,LaCuerda,Downloaded
El Show de los muertos,LaCuerda,Downloaded
el Tuerto y los Ciegos,LaCuerda,Downloaded
Entra lectrico,LaCuerda,Downloaded
"Entra, seas bienvenido a casa",LaCuerda,Downloaded
Espejos,LaCuerda,Downloaded
Fabricante de Mentiras,LaCuerda,Downloaded
Gaby,LaCuerda,Downloaded
Instituciones,LaCuerda,Downloaded
Juan Represión,LaCuerda,Downloaded
La bicicleta oxidada,LaCuerda,Downloaded
La niña juega en el gran jardín,LaCuerda,Downloaded
Las increíbles aventuras del señor tijeras,LaCuerda,Downloaded
Elementales Leches,LaCuerda,Downloaded
Que ves el cielo,LaCuerda,Downloaded
Durazno Sangrando,LaCuerda,Downloaded
El anillo del capitán Beto,LaCuerda,Downloaded
Perdonado (niño condenado),LaCuerda,Downloaded
Dios de adolescencia,LaCuerda,Downloaded
Lo que nos ocupa es esa abuela la conciencia,LaCuerda,Downloaded
La azafata del tren fantasma,LaCuerda,Downloaded
Encadenado al ánima,LaCuerda,Downloaded
200 años,LaCuerda,Downloaded
Alarma entre los ángeles,LaCuerda,Downloaded
El diluvio y la pasajera,LaCuerda,Downloaded
El tema de Elmo Lesto,LaCuerda,Downloaded
En una lejana playa del animus,LaCuerda,Downloaded
Encadenado al ánima (parte 2),LaCuerda,Downloaded
Estado de coma,LaCuerda,Downloaded
Irregular,LaCuerda,Downloaded
Jugo de lucuma,LaCuerda,Downloaded
La llave del Mándala,LaCuerda,Downloaded
Las golondrinas de plaza de mayo,LaCuerda,Downloaded
Oso del sueño,LaCuerda,Downloaded
Pleamar de águilas,LaCuerda,Downloaded
Ruido de magia,LaCuerda,Downloaded
Suspensión,LaCuerda,Downloaded
Viejos ratones del tiempo,LaCuerda,Downloaded
Colinas,LaCuerda,Downloaded
Suavemente Entusiasmado,LaCuerda,Downloaded
Máquina del tiempo,LaCuerda,Downloaded
Pantera,LaCuerda,Downloaded
Impecable,LaCuerda,Downloaded
La Araña,LaCuerda,Downloaded
Caballos,LaCuerda,Downloaded
Llamada Perdida,LaCuerda,Downloaded
Jinete del atardecer,LaCuerda,Downloaded
Jardín Secreto,LaCuerda,Downloaded
Acto de fé,LaCuerda,Downloaded
Algo no ha terminado,LaCuerda,Downloaded
Bahía del puente Olive,LaCuerda,Downloaded
Batalla Gigante,LaCuerda,Downloaded
Bip-bip no me hables,LaCuerda,Downloaded
Colmillos,LaCuerda,Downloaded
Desayuno Continental,LaCuerda,Downloaded
Descanso sobre ruinas,LaCuerda,Downloaded
Dutsiland,LaCuerda,Downloaded
Edmundo año cero,LaCuerda,Downloaded
El estudia semiología mientras ella filma el choto que extraña,LaCuerda,Downloaded
Entre los cuerpos,LaCuerda,Downloaded
Fósil,LaCuerda,Downloaded
Gato negro pasa,LaCuerda,Downloaded
Hacernos Extraños,LaCuerda,Downloaded
La danza de los principiantes,LaCuerda,Downloaded
La nostalgia soundsystem,LaCuerda,Downloaded
Lejos de todo,LaCuerda,Downloaded
Los Lobos,LaCuerda,Downloaded
Los Pájaros,LaCuerda,Downloaded
Los últimos minutos de la noche,LaCuerda,Downloaded
Mapa,LaCuerda,Downloaded
Mateo,LaCuerda,Downloaded
Me cuidé tanto,LaCuerda,Downloaded
Nada peor que la sed,LaCuerda,Downloaded
Noches de ciencia ficción,LaCuerda,Downloaded
Nuestra Noche,LaCuerda,Downloaded
Olímpica,LaCuerda,Downloaded
Piñas,LaCuerda,Downloaded
Puentes Rotos,LaCuerda,Downloaded
Dueles,LaCuerda,Downloaded
Ya te olvidé,LaCuerda,Downloaded
El Alfarero,LaCuerda,Downloaded
Partido en dos,LaCuerda,Downloaded
Mi mayor anhelo,LaCuerda,Downloaded
Cara a la muerte,LaCuerda,Downloaded
El Tesoro,LaCuerda,Downloaded
Confieso,LaCuerda,Downloaded
Todo se lo debo a él,LaCuerda,Downloaded
Digno y santo,LaCuerda,Downloaded
Avellaneda Blues,LaCuerda,Downloaded
Avenida Rivadavia,LaCuerda,Downloaded
Blues de la amenaza nocturna,LaCuerda,Downloaded
Hoy todo anda bien,LaCuerda,Downloaded
Informe de un día,LaCuerda,Downloaded
Jugo de tomate,LaCuerda,Downloaded
Jugo de tomate frio,LaCuerda,Downloaded
Libre como ayer,LaCuerda,Downloaded
Mujer sin nombre,LaCuerda,Downloaded
Necesito un amor,LaCuerda,Downloaded
No hay tiempo de más,LaCuerda,Downloaded
No pibe,LaCuerda,Downloaded
Para ser un hombre más,LaCuerda,Downloaded
Porque hoy nací,LaCuerda,Downloaded
Que pena me das,LaCuerda,Downloaded
Todo el día me pregunto,LaCuerda,Downloaded
Una casa con diez pinos,LaCuerda,Downloaded
La Balsa,LaCuerda,Downloaded
Viento dile a la Lluvia,LaCuerda,Downloaded
Ayer Nomás,LaCuerda,Downloaded
El Rey Lloró,LaCuerda,Downloaded
Madre Escúchame,LaCuerda,Downloaded
Solo se trata de vivir,LaCuerda,Downloaded
Dónde está esa promesa,LaCuerda,Downloaded
El Vagabundo,LaCuerda,Downloaded
Rock de la mujer perdida,LaCuerda,Downloaded
Inadaptado,LaCuerda,Downloaded
Amorcito,LaCuerda,Downloaded
Déjame buscar felicidad,LaCuerda,Downloaded
El día llegará,LaCuerda,Downloaded
Esperando a Dios,LaCuerda,Downloaded
Hogar,LaCuerda,Downloaded
Jamás Creí,LaCuerda,Downloaded
La casa de diarios viejos,LaCuerda,Downloaded
La chica del paraguas,LaCuerda,Downloaded
La mujer sin nombre,LaCuerda,Downloaded
La Respuesta,LaCuerda,Downloaded
Lo Olvidarás,LaCuerda,Downloaded
Los días de Actemio,LaCuerda,Downloaded
Los payasos no saben reir,LaCuerda,Downloaded
Me harás pensar el el amor,LaCuerda,Downloaded
Riete,LaCuerda,Downloaded
Rosemary,LaCuerda,Downloaded
Sabes,LaCuerda,Downloaded
Seremos Amigos,LaCuerda,Downloaded
Soy de cualquier lugar,LaCuerda,Downloaded
Sueña y corre,LaCuerda,Downloaded
Un día de fiesta,LaCuerda,Downloaded
Un día de otoño,LaCuerda,Downloaded
